filepath,xmin,xmax,ymin,ymax
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N1.xml,1093,1396,645,727
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N100.xml,134,301,312,350
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N101.xml,31,139,128,161
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N102.xml,164,316,216,243
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N103.xml,813,1067,665,724
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N104.xml,66,154,166,197
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N105.xml,360,434,174,195
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N106.xml,137,262,249,290
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N107.xml,207,356,174,287
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N108.xml,184,342,220,257
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N109.xml,148,239,250,320
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N11.xml,131,187,130,144
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N110.xml,183,249,211,227
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N111.xml,80,239,364,402
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N112.xml,179,347,256,290
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N113.xml,39,108,129,157
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N114.xml,15,200,33,126
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N116.xml,157,316,226,278
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N117.xml,120,249,161,202
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N118.xml,532,852,636,706
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N119.xml,180,559,216,314
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N12.xml,976,1284,669,754
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N120.xml,647,736,332,387
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N121.xml,311,506,324,370
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N122.xml,342,494,243,288
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N123.xml,11,246,78,165
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N124.xml,165,328,276,324
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N126.xml,149,399,269,327
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N127.xml,24,142,209,245
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N128.xml,58,221,198,271
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N129.xml,301,504,351,402
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N130.xml,419,513,173,213
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N131.xml,198,349,107,143
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N132.xml,111,320,133,286
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N133.xml,795,1095,751,840
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N134.xml,230,365,188,219
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N135.xml,157,341,197,247
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N136.xml,787,910,473,513
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N137.xml,401,593,456,493
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N138.xml,36,465,64,168
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N139.xml,341,607,954,1011
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N14.xml,1058,1351,660,756
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N140.xml,346,423,197,221
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N141.xml,150,348,255,296
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N142.xml,66,174,234,259
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N143.xml,115,524,144,296
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N144.xml,39,177,201,275
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N145.xml,233,432,88,151
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N147.xml,424,613,548,591
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N148.xml,244,369,240,293
C:/Users/Lenovo/Desktop/INDP3/Project_Files/1_Labeling/images\N149.xml,186,324,116,148
